"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"YncE","Probability","5-9y",150,5030.56935577105,875.046262517477,12988.3581469496
"Flic","Probability","5-9y",150,367.812356119085,0.128445767277018,4031.2213689705
"HlyE","Indicator","10-14y",150,35788.5692480623,25029.8293603157,49396.6198147654
"LPS02","Indicator","10-14y",150,38013.4707927552,26803.1674258501,51972.3917421725
"Vi","Indicator","10-14y",150,28607.120350406,19144.6448735477,40930.1748939904
"CdtB","Indicator","10-14y",150,22811.7200822663,14495.2947589133,33769.4684565598
"LPS09","Indicator","10-14y",150,46456.1589713612,33856.7914969111,62178.3331691695
"YncE","Indicator","10-14y",150,21701.4368352098,13550.096019368,32229.173125726
"Flic","Indicator","10-14y",150,23733.6523001393,13941.3388265853,37103.4094661324
"HlyE","Probability","10-14y",150,24504.5421493638,15125.2701309471,36905.9500493554
"LPS02","Probability","10-14y",150,21709.6314103932,12459.0065470813,34125.690054945
"Vi","Probability","10-14y",150,19859.0574007842,10933.3389742759,31801.073736389
"CdtB","Probability","10-14y",150,13389.8691364789,6764.84560745278,22719.7460619976
"LPS09","Probability","10-14y",150,32635.3070793577,21273.5015725789,46965.1437376217
"YncE","Probability","10-14y",150,13213.7791351125,6498.07089207025,22985.9709092953
"Flic","Probability","10-14y",150,14413.9351051735,6669.69193116043,26016.699809768
"HlyE","Indicator","15-29y",150,20200.7749172909,12654.3642321905,29736.1818595106
"LPS02","Indicator","15-29y",150,25263.7152664354,16856.4775488374,35993.3308973772
"Vi","Indicator","15-29y",150,23194.7899686092,15117.6434978842,33385.1145541045
"CdtB","Indicator","15-29y",150,10390.7573103416,5303.26929445674,17585.985202297
"LPS09","Indicator","15-29y",150,25305.9790635005,16908.1106346108,36172.7095010137
"YncE","Indicator","15-29y",150,22264.0539992451,14215.0049991575,32374.7587094389
"Flic","Indicator","15-29y",150,8447.61265421338,3447.13589188441,17024.7765160601
"HlyE","Probability","15-29y",150,13201.2222256659,6827.56760296158,22134.1812807742
"LPS02","Probability","15-29y",150,11738.1182148555,5503.17844362606,20672.5742338515
"Vi","Probability","15-29y",150,10443.1419481283,4736.65734242146,18884.2666045833
"CdtB","Probability","15-29y",150,3175.42463912341,636.70683219531,8551.30484494211
"LPS09","Probability","15-29y",150,17430.8832594176,9786.59531807044,27505.2059365746
"YncE","Probability","15-29y",150,8814.97851273644,3637.84631179059,16831.4532842566
"Flic","Probability","15-29y",150,6478.73854793623,1715.77906827225,15039.889005042
"HlyE","Indicator","30+",150,13044.4749981156,9916.46552123607,16761.7339748219
"LPS02","Indicator","30+",150,21249.9754081467,17198.965656878,26075.0428226892
"Vi","Indicator","30+",150,13836.0499764937,10564.2103752558,17685.1793747257
"CdtB","Indicator","30+",150,14351.0667044025,11096.3655198693,18373.2635932531
"LPS09","Indicator","30+",150,20767.2608390858,16755.8042322141,25517.7747202845
"YncE","Indicator","30+",150,27074.3602890604,22386.7634674627,32415.499160562
"Flic","Indicator","30+",150,8275.12682792085,5229.94328238659,12318.1725055098
"HlyE","Probability","30+",150,5095.5886678152,3001.14336494213,7919.70200083353
"LPS02","Probability","30+",150,9560.22394223895,6448.32816187737,13318.9762193541
"Vi","Probability","30+",150,7942.6842132977,5224.8036915633,11324.3651443474
"CdtB","Probability","30+",150,4766.70971020883,2762.53353114222,7538.89877818456
"LPS09","Probability","30+",150,8454.96917845602,5548.29966549598,11937.9000875742
"YncE","Probability","30+",150,7981.80125536622,4802.18809872963,12016.8075249083
"Flic","Probability","30+",150,5503.12901163088,2876.47165093784,9066.10215914141
"HlyE","Indicator","Standardized",100,26172.5719873544,11895.9709248582,49396.5407660648
"LPS02","Indicator","Standardized",100,41202.7532501956,22299.9028347872,68214.882310146
"Vi","Indicator","Standardized",100,30092.7159143755,14290.7477346037,54154.3325940735
"CdtB","Indicator","Standardized",100,22403.8378206685,9995.24944537681,43173.2473383174
"LPS09","Indicator","Standardized",100,33718.966057433,17477.7627315603,58712.4827298891
"YncE","Indicator","Standardized",100,29141.6981591614,14499.8729223522,52544.5628769181
"Flic","Indicator","Standardized",100,7683.60753566496,2754.26761868591,19531.8729966805
"HlyE","Probability","Standardized",100,18570.7058346372,6428.90624746763,40252.2819340166
"LPS02","Probability","Standardized",100,23843.2678728472,8735.87065153361,49345.7857823049
"Vi","Probability","Standardized",100,17027.5558621104,4457.30242168211,39953.1603147292
"CdtB","Probability","Standardized",100,10449.6289893764,2919.89013683951,28245.15408623
"LPS09","Probability","Standardized",100,24181.4156746041,9237.20769384232,48867.4026651304
"YncE","Probability","Standardized",100,7835.00401618931,1879.73615209891,25574.1010045232
"Flic","Probability","Standardized",100,3740.62155475502,1071.43758548772,12526.89752268
"HlyE","Indicator","Standardized",150,21488.3517401677,14925.3861365596,29604.2946078163
"LPS02","Indicator","Standardized",150,27281.0349518704,19957.6889069757,36334.0265384071
"Vi","Indicator","Standardized",150,21641.3743873354,15063.4916568786,29792.9855344318
"CdtB","Indicator","Standardized",150,16605.2746771484,11224.4912002496,23646.9090120986
"LPS09","Indicator","Standardized",150,28635.8962386526,21080.1189818718,38041.9066587041
"YncE","Indicator","Standardized",150,25242.2938293186,18504.0578196281,33562.3478203801
"Flic","Indicator","Standardized",150,9653.45949805302,5133.13704947292,16596.517534934
"HlyE","Probability","Standardized",150,13171.7512620318,7729.35864142894,20468.4834278929
"LPS02","Probability","Standardized",150,14534.3312473157,8657.64157937593,22321.5996120953
"Vi","Probability","Standardized",150,12144.8115319921,6853.43467628155,19349.0336867877
"CdtB","Probability","Standardized",150,6912.86716356216,3411.09720258043,12416.3554236386
"LPS09","Probability","Standardized",150,18034.2875441452,11384.650876456,26476.0488728889
"YncE","Probability","Standardized",150,9301.33938065794,4691.58096341015,16021.7826809001
"Flic","Probability","Standardized",150,6270.08878971076,2528.98418759385,12552.2854669396
