"Antigen","Infection.Data.Type","Age.Group","Max.Delay","Median","Lower","Upper"
"HlyE","Indicator","Standardized",100,22477.6485033626,13647.0932760194,34369.6892861468
"Flic","Indicator","Standardized",100,24274.6656078839,15008.1432855309,36707.0451166073
"LPS09","Indicator","Standardized",100,46867.3285976358,33258.0743547647,63913.4038353153
"CdtB","Indicator","Standardized",100,19390.0547358207,11310.8996893873,30825.8203225977
"LPS02","Indicator","Standardized",100,39258.0953140214,26965.5110016403,54813.1168327029
"Vi","Probability","Standardized",100,24605.6812723401,15201.5347466096,37535.2914595982
"YncE","Probability","Standardized",100,9121.91106998066,3845.6137819679,17972.6957907817
"HlyE","Probability","Standardized",100,11622.2495923682,5474.63796560663,21769.1048477921
"Flic","Probability","Standardized",100,14578.684655064,7255.03696548177,25437.4290633677
"LPS09","Probability","Standardized",100,36545.3221300388,23998.9550996552,52909.9911054873
"CdtB","Probability","Standardized",100,11256.5468436384,4934.09081657031,21103.4453366618
"LPS02","Probability","Standardized",100,29199.5445864191,18314.235006838,43800.009827984
"Vi","Indicator","Standardized",150,31722.5980171168,24576.4426467985,40195.1687027978
"YncE","Indicator","Standardized",150,22529.5043862175,16630.1698164855,29776.7392761366
"HlyE","Indicator","Standardized",150,23094.4523697066,17052.2877872541,30276.2972123006
"Flic","Indicator","Standardized",150,25233.6350236518,18935.61834351,32854.1185340331
"LPS09","Indicator","Standardized",150,48664.4563086773,39557.499514626,59090.6500908292
"CdtB","Indicator","Standardized",150,21288.3914079611,15599.8103252605,28271.9897876808
"LPS02","Indicator","Standardized",150,43535.8204138109,34936.2725414527,53456.1135577494
"Vi","Probability","Standardized",150,24511.3902698834,17968.7979027654,32464.5324953446
"YncE","Probability","Standardized",150,11841.8945272844,7375.21928407788,17787.1224714473
"HlyE","Probability","Standardized",150,14353.087007309,9275.1270705499,20866.7439979561
"Flic","Probability","Standardized",150,13971.9411375604,8994.35137355272,20479.8357665465
"LPS09","Probability","Standardized",150,39783.9422971102,31086.2321018578,50010.9361623093
"CdtB","Probability","Standardized",150,11640.0972988286,7178.05345260291,17694.2159130453
"LPS02","Probability","Standardized",150,35740.0052710065,27537.0464356551,45376.9124696862
